Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
1736145857000,99724.40000000,99724.40000000,99724.40000000,99724.40000000,0.00000000,1736145857999,0.00000000,0,0.00000000,0.00000000,0
1736145858000,99716.57000000,99716.57000000,99716.57000000,99716.57000000,0.00634000,1736145858999,632.20305380,1,0.00000000,0.00000000,0
1736145859000,99716.57000000,99716.57000000,99716.57000000,99716.57000000,0.00000000,1736145859999,0.00000000,0,0.00000000,0.00000000,0
1736145860000,99712.72000000,99712.72000000,99704.68000000,99704.68000000,0.00893000,1736145860999,890.41103240,2,0.00000000,0.00000000,0
1736145861000,99699.79000000,99699.79000000,99699.79000000,99699.79000000,0.00452000,1736145861999,450.64305080,1,0.00000000,0.00000000,0
1736145862000,99699.79000000,99699.79000000,99699.79000000,99699.79000000,0.00000000,1736145862999,0.00000000,0,0.00000000,0.00000000,0
1736145863000,99699.79000000,99699.79000000,99699.79000000,99699.79000000,0.00000000,1736145863999,0.00000000,0,0.00000000,0.00000000,0
1736145864000,99699.79000000,99699.79000000,99699.79000000,99699.79000000,0.00000000,1736145864999,0.00000000,0,0.00000000,0.00000000,0
1736145865000,99699.79000000,99699.79000000,99699.79000000,99699.79000000,0.00000000,1736145865999,0.00000000,0,0.00000000,0.00000000,0
1736145866000,99699.79000000,99699.79000000,99699.79000000,99699.79000000,0.00000000,1736145866999,0.00000000,0,0.00000000,0.00000000,0
1736145867000,99693.57000000,99693.57000000,99693.57000000,99693.57000000,0.00016000,1736145867999,15.95097120,1,0.00016000,15.95097120,0
1736145868000,99693.57000000,99693.57000000,99693.57000000,99693.57000000,0.00000000,1736145868999,0.00000000,0,0.00000000,0.00000000,0
1736145869000,99693.06000000,99693.06000000,99693.06000000,99693.06000000,0.00600000,1736145869999,598.15836000,1,0.00000000,0.00000000,0
1736145870000,99693.06000000,99693.06000000,99693.06000000,99693.06000000,0.00000000,1736145870999,0.00000000,0,0.00000000,0.00000000,0
1736145871000,99691.06000000,99691.06000000,99691.06000000,99691.06000000,0.12948000,1736145871999,12907.99844880,2,0.12948000,12907.99844880,0
1736145872000,99691.06000000,99691.06000000,99691.06000000,99691.06000000,0.00000000,1736145872999,0.00000000,0,0.00000000,0.00000000,0
1736145873000,99691.06000000,99691.06000000,99691.06000000,99691.06000000,0.00000000,1736145873999,0.00000000,0,0.00000000,0.00000000,0
1736145874000,99691.06000000,99691.06000000,99691.06000000,99691.06000000,0.00000000,1736145874999,0.00000000,0,0.00000000,0.00000000,0
1736145875000,99691.06000000,99691.06000000,99691.06000000,99691.06000000,0.00000000,1736145875999,0.00000000,0,0.00000000,0.00000000,0
1736145876000,99691.06000000,99691.06000000,99691.06000000,99691.06000000,0.00000000,1736145876999,0.00000000,0,0.00000000,0.00000000,0
1736145877000,99691.06000000,99691.06000000,99691.06000000,99691.06000000,0.00000000,1736145877999,0.00000000,0,0.00000000,0.00000000,0
1736145878000,99691.06000000,99691.06000000,99691.06000000,99691.06000000,0.00000000,1736145878999,0.00000000,0,0.00000000,0.00000000,0
1736145879000,99691.06000000,99691.06000000,99691.06000000,99691.06000000,0.00000000,1736145879999,0.00000000,0,0.00000000,0.00000000,0
1736145880000,99691.06000000,99691.06000000,99691.06000000,99691.06000000,0.00000000,1736145880999,0.00000000,0,0.00000000,0.00000000,0
1736145881000,99691.06000000,99691.06000000,99691.06000000,99691.06000000,0.00000000,1736145881999,0.00000000,0,0.00000000,0.00000000,0
1736145882000,99708.93000000,99708.93000000,99708.93000000,99708.93000000,0.00038000,1736145882999,37.88939340,1,0.00000000,0.00000000,0
1736145883000,99708.93000000,99708.93000000,99708.93000000,99708.93000000,0.00000000,1736145883999,0.00000000,0,0.00000000,0.00000000,0
1736145884000,99708.93000000,99708.93000000,99708.93000000,99708.93000000,0.00000000,1736145884999,0.00000000,0,0.00000000,0.00000000,0
